BR,US,UK,Category,Kind,Name,ColorName,SKU,TXT,Density,EA,EI,GJ,MaxTension,MBR,Strand Level,Wire Qty,strand Dia,Core Dia,JacketTh
x,,,Juli Sling,OD31.8 S37,Juli Sling 07-096 1x37-38.1,Black,,,4.8,96.4,0.052,0.453,514.2,400,3,37,4.54,38.1,3.5
x,,,Juli Sling,OD17.5 S19,Juli Sling 07-096 1x19-17.5,Black,,,1.4,35.32,0.005,0.039,147,300,2,19,3.5,17.5,2
