BR,US,UK,Name,Kind,Size,Rating,StrandN,StrandD,StrandA,CuBundD,Ins1Th,Ins2Th,Screen2Th,Tape2Th,Screen3Th,Tape3Th,JackTh,Diameter,Weight,EA,EI,GJ,MaxTension,MBR
#MATERIALS,,,,,,,,COPPER,,,XLPE-SCM,XLPE,XLPE-SCM,SCM-TAPE,COPPER,WB-TAPE,HDPE,,,,,,,
#6kV CuT,,,,CuT,,6kV,,,,,,,,,,,,,,,,,,
,,,240mm2 15kV CuT,CuT,240,15,61,2.295,12,19.01571429,0.7,4.59,0.7,0.8,0.2,0,0,32.99571429,2.764361614,,,,,329
,,,300mm2 15kV CuT,CuT,300,15,61,2.5704,12,21.2976,0.7,4.59,0.7,0.8,0.2,0,0,35.2776,3.379936534,,,,,352
,,,400mm2 15kV CuT,CuT,400,15,61,2.907,12,24.08657143,0.7,4.59,0.7,0.8,0.2,0,0,38.06657143,4.219565881,,,,,380
,,,500mm2 15kV CuT,CuT,500,15,61,3.264,12,27.04457143,0.7,4.59,0.7,0.8,0.2,0,0,41.02457143,5.21496337,,,,,410
,,,630mm2 15kV CuT,CuT,630,15,127,2.5704,12,30.7632,0.7,4.59,0.7,0.8,0.2,0,0,44.7432,6.610772498,,,,,447
,,,,,,,,,,,,,,,,,,,,,,,,
#20kV CuT,,,,CuT,,20kV,,,,,,,,,,,,,,,,,,
,,,35mm2 20kV CuT,CuT,35,20,7,2.5704,12,7.0992,0.7,5.61,0.7,0.8,0.2,0,0,23.1192,0.745275141,,,,,231
,,,50mm2 20kV CuT,CuT,50,20,19,1.8156,12,8.35752381,0.7,5.61,0.7,0.8,0.2,0,0,24.37752381,0.895368506,,,,,243
,,,70mm2 20kV CuT,CuT,70,20,19,2.1828,12,10.04780952,0.7,5.61,0.7,0.8,0.2,0,0,26.06780952,1.134846011,,,,,260
,,,95mm2 20kV CuT,CuT,95,20,19,2.5704,12,11.832,0.7,5.61,0.7,0.8,0.2,0,0,27.852,1.426126155,,,,,278
,,,120mm2 20kV CuT,CuT,120,20,37,2.0706,12,13.34386667,0.7,5.61,0.7,0.8,0.2,0,0,29.36386667,1.698885646,,,,,293
,,,150mm2 20kV CuT,CuT,150,20,37,2.295,12,14.79,0.7,5.61,0.7,0.8,0.2,0,0,30.81,1.989984289,,,,,308
,,,185mm2 20kV CuT,CuT,185,20,37,2.5704,12,16.5648,0.7,5.61,0.7,0.8,0.2,0,0,32.5848,2.38257717,,,,,325
,,,240mm2 20kV CuT,CuT,240,20,61,2.295,12,19.01571429,0.7,5.61,0.7,0.8,0.2,0,0,35.03571429,2.984573052,,,,,350
